"","","",""
"827",377,2,T0365@Targetmol-L2300-640cpds-manual.csv-2
"828",377,3,T0365@Targetmol-L2300-640cpds-manual.csv-3
"829",377,4,T0365@Targetmol-L2300-640cpds-manual.csv-4
"830",378,1,T0364L@Targetmol-L2300-640cpds-manual.csv-1
"831",379,1,T0349@Targetmol-L2300-640cpds-manual.csv-1
"832",380,1,T0344@Targetmol-L2300-640cpds-manual.csv-1
"833",380,2,T0344@Targetmol-L2300-640cpds-manual.csv-2
"834",380,3,T0344@Targetmol-L2300-640cpds-manual.csv-3
"835",380,4,T0344@Targetmol-L2300-640cpds-manual.csv-4
"836",381,1,T0343@Targetmol-L2300-640cpds-manual.csv-1
"837",381,2,T0343@Targetmol-L2300-640cpds-manual.csv-2
"838",382,1,T0333@Targetmol-L2300-640cpds-manual.csv-1
"839",383,1,T0327@Targetmol-L2300-640cpds-manual.csv-1
"840",383,2,T0327@Targetmol-L2300-640cpds-manual.csv-2
"841",383,3,T0327@Targetmol-L2300-640cpds-manual.csv-3
"842",383,4,T0327@Targetmol-L2300-640cpds-manual.csv-4
"843",384,1,T0324@Targetmol-L2300-640cpds-manual.csv-1
"844",384,2,T0324@Targetmol-L2300-640cpds-manual.csv-2
"845",384,3,T0324@Targetmol-L2300-640cpds-manual.csv-3
"846",384,4,T0324@Targetmol-L2300-640cpds-manual.csv-4
"847",384,5,T0324@Targetmol-L2300-640cpds-manual.csv-5
"848",384,6,T0324@Targetmol-L2300-640cpds-manual.csv-6
"849",384,7,T0324@Targetmol-L2300-640cpds-manual.csv-7
"850",384,8,T0324@Targetmol-L2300-640cpds-manual.csv-8
"851",384,9,T0324@Targetmol-L2300-640cpds-manual.csv-9
"852",384,10,T0324@Targetmol-L2300-640cpds-manual.csv-10
"853",384,11,T0324@Targetmol-L2300-640cpds-manual.csv-11
"854",384,12,T0324@Targetmol-L2300-640cpds-manual.csv-12
"855",384,13,T0324@Targetmol-L2300-640cpds-manual.csv-13
"856",384,14,T0324@Targetmol-L2300-640cpds-manual.csv-14
"857",384,15,T0324@Targetmol-L2300-640cpds-manual.csv-15
"858",384,16,T0324@Targetmol-L2300-640cpds-manual.csv-16
"859",385,1,T0308@Targetmol-L2300-640cpds-manual.csv-1
"860",385,2,T0308@Targetmol-L2300-640cpds-manual.csv-2
"861",385,3,T0308@Targetmol-L2300-640cpds-manual.csv-3
"862",386,1,T0287@Targetmol-L2300-640cpds-manual.csv-1
"863",387,1,T0283@Targetmol-L2300-640cpds-manual.csv-1
"864",388,1,T0275@Targetmol-L2300-640cpds-manual.csv-1
"865",389,2,T0268@Targetmol-L2300-640cpds-manual.csv-2
"866",390,1,T0267@Targetmol-L2300-640cpds-manual.csv-1
"867",391,1,T0249@Targetmol-L2300-640cpds-manual.csv-1
"868",392,1,T0222@Targetmol-L2300-640cpds-manual.csv-1
"869",392,2,T0222@Targetmol-L2300-640cpds-manual.csv-2
"870",393,1,T0221@Targetmol-L2300-640cpds-manual.csv-1
"871",393,2,T0221@Targetmol-L2300-640cpds-manual.csv-2
"872",393,3,T0221@Targetmol-L2300-640cpds-manual.csv-3
"873",393,4,T0221@Targetmol-L2300-640cpds-manual.csv-4
"874",394,1,S1356@Selleck-L2700-219cpds-manual.csv-1
"875",394,2,S1356@Selleck-L2700-219cpds-manual.csv-2
"876",395,1,T0175L@Targetmol-L2300-640cpds-manual.csv-1
"877",396,1,T0169@Targetmol-L2300-640cpds-manual.csv-1
"878",397,1,S2110@Selleck-L2700-219cpds-manual.csv-1
"879",397,2,S2110@Selleck-L2700-219cpds-manual.csv-2
"880",397,3,S2110@Selleck-L2700-219cpds-manual.csv-3
"881",397,4,S2110@Selleck-L2700-219cpds-manual.csv-4
"882",397,5,S2110@Selleck-L2700-219cpds-manual.csv-5
"883",397,6,S2110@Selleck-L2700-219cpds-manual.csv-6
"884",397,7,S2110@Selleck-L2700-219cpds-manual.csv-7
"885",397,8,S2110@Selleck-L2700-219cpds-manual.csv-8
"886",397,9,S2110@Selleck-L2700-219cpds-manual.csv-9
"887",397,10,S2110@Selleck-L2700-219cpds-manual.csv-10
"888",397,11,S2110@Selleck-L2700-219cpds-manual.csv-11
"889",397,12,S2110@Selleck-L2700-219cpds-manual.csv-12
"890",398,1,T0163@Targetmol-L2300-640cpds-manual.csv-1
"891",398,2,T0163@Targetmol-L2300-640cpds-manual.csv-2
"892",399,1,T0150@Targetmol-L2300-640cpds-manual.csv-1
"893",399,2,T0150@Targetmol-L2300-640cpds-manual.csv-2
"894",399,3,T0150@Targetmol-L2300-640cpds-manual.csv-3
"895",399,4,T0150@Targetmol-L2300-640cpds-manual.csv-4
"896",400,1,T0145@Targetmol-L2300-640cpds-manual.csv-1
"897",400,2,T0145@Targetmol-L2300-640cpds-manual.csv-2
"898",401,1,T0126@Targetmol-L2300-640cpds-manual.csv-1
"899",401,2,T0126@Targetmol-L2300-640cpds-manual.csv-2
"900",402,1,T0119@Targetmol-L2300-640cpds-manual.csv-1
"901",402,2,T0119@Targetmol-L2300-640cpds-manual.csv-2
"902",403,1,T0114@Targetmol-L2300-640cpds-manual.csv-1
"903",403,2,T0114@Targetmol-L2300-640cpds-manual.csv-2
"904",403,3,T0114@Targetmol-L2300-640cpds-manual.csv-3
"905",403,4,T0114@Targetmol-L2300-640cpds-manual.csv-4
"906",404,1,S1865@Selleck-L2700-219cpds-manual.csv-1
"907",404,2,S1865@Selleck-L2700-219cpds-manual.csv-2
"908",404,3,S1865@Selleck-L2700-219cpds-manual.csv-3
"909",404,4,S1865@Selleck-L2700-219cpds-manual.csv-4
"910",404,5,S1865@Selleck-L2700-219cpds-manual.csv-5
"911",404,6,S1865@Selleck-L2700-219cpds-manual.csv-6
"912",404,7,S1865@Selleck-L2700-219cpds-manual.csv-7
"913",404,8,S1865@Selleck-L2700-219cpds-manual.csv-8
"914",405,1,T0108@Targetmol-L2300-640cpds-manual.csv-1
"915",406,1,T0075@Targetmol-L2300-640cpds-manual.csv-1
"916",407,1,T0072@Targetmol-L2300-640cpds-manual.csv-1
"917",407,2,T0072@Targetmol-L2300-640cpds-manual.csv-2
"918",408,1,T0055L@Targetmol-L2300-640cpds-manual.csv-1
"919",408,2,T0055L@Targetmol-L2300-640cpds-manual.csv-2
"920",408,3,T0055L@Targetmol-L2300-640cpds-manual.csv-3
"921",408,4,T0055L@Targetmol-L2300-640cpds-manual.csv-4
"922",409,1,T0052L@Targetmol-L2300-640cpds-manual.csv-1
"923",409,2,T0052L@Targetmol-L2300-640cpds-manual.csv-2
"924",409,3,T0052L@Targetmol-L2300-640cpds-manual.csv-3
"925",410,1,T0051@Targetmol-L2300-640cpds-manual.csv-1
"926",411,1,T0048@Targetmol-L2300-640cpds-manual.csv-1
"927",412,1,T0038@Targetmol-L2300-640cpds-manual.csv-1
"928",412,2,T0038@Targetmol-L2300-640cpds-manual.csv-2
"929",412,3,T0038@Targetmol-L2300-640cpds-manual.csv-3
"930",412,4,T0038@Targetmol-L2300-640cpds-manual.csv-4
"931",413,1,T0028@Targetmol-L2300-640cpds-manual.csv-1
"932",413,2,T0028@Targetmol-L2300-640cpds-manual.csv-2
"933",413,3,T0028@Targetmol-L2300-640cpds-manual.csv-3
"934",413,4,T0028@Targetmol-L2300-640cpds-manual.csv-4
"935",414,1,T0024@Targetmol-L2300-640cpds-manual.csv-1
"936",415,1,T0018@Targetmol-L2300-640cpds-manual.csv-1
"937",416,1,T0015@Targetmol-L2300-640cpds-manual.csv-1
"938",416,2,T0015@Targetmol-L2300-640cpds-manual.csv-2
"939",417,1,T0012@Targetmol-L2300-640cpds-manual.csv-1
"940",417,2,T0012@Targetmol-L2300-640cpds-manual.csv-2
"941",418,1,T0008@Targetmol-L2300-640cpds-manual.csv-1
"942",418,2,T0008@Targetmol-L2300-640cpds-manual.csv-2
"943",419,1,S1675@Selleck-L2700-219cpds-manual.csv-1
"944",419,2,S1675@Selleck-L2700-219cpds-manual.csv-2
"945",419,3,S1675@Selleck-L2700-219cpds-manual.csv-3
"946",419,4,S1675@Selleck-L2700-219cpds-manual.csv-4
"947",419,5,S1675@Selleck-L2700-219cpds-manual.csv-5
"948",419,6,S1675@Selleck-L2700-219cpds-manual.csv-6
"949",419,7,S1675@Selleck-L2700-219cpds-manual.csv-7
"950",419,8,S1675@Selleck-L2700-219cpds-manual.csv-8
"951",420,1,S2524@Selleck-L2700-219cpds-manual.csv-1
"952",420,2,S2524@Selleck-L2700-219cpds-manual.csv-2
"953",421,1,S2825@Selleck-L2700-219cpds-manual.csv-1
"954",421,2,S2825@Selleck-L2700-219cpds-manual.csv-2
"955",422,1,S3682@Selleck-L2700-219cpds-manual.csv-1
"956",423,3,S3774@Selleck-L2700-219cpds-manual.csv-3
"957",424,1,S4057@Selleck-L2700-219cpds-manual.csv-1
"958",424,2,S4057@Selleck-L2700-219cpds-manual.csv-2
"959",425,1,S4366@Selleck-L2700-219cpds-manual.csv-1
"960",425,2,S4366@Selleck-L2700-219cpds-manual.csv-2
"961",425,3,S4366@Selleck-L2700-219cpds-manual.csv-3
"962",425,4,S4366@Selleck-L2700-219cpds-manual.csv-4
"963",426,1,S4630@Selleck-L2700-219cpds-manual.csv-1
"964",426,2,S4630@Selleck-L2700-219cpds-manual.csv-2
"965",427,1,S4733@Selleck-L2700-219cpds-manual.csv-1
"966",427,2,S4733@Selleck-L2700-219cpds-manual.csv-2
"967",428,1,S5478@Selleck-L2700-219cpds-manual.csv-1
"968",428,2,S5478@Selleck-L2700-219cpds-manual.csv-2
"969",429,1,S2562@Selleck-L2700-219cpds-manual.csv-1
"970",429,2,S2562@Selleck-L2700-219cpds-manual.csv-2
